,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
0,0.8449612403100772,0.7999999999999998,0.8630136986301369,0.8787878787878789,0.9173553719008263,0.8742138364779874,0.95,0.2375,0.8181818181818179,0.0,1.0,0.0
1,0.612403100775194,0.79,0.8835616438356166,0.9757575757575756,0.8553719008264462,0.5471698113207544,0.7,0.0,0.7181818181818183,1.0,0.0,0.0
2,0.635658914728682,0.0,0.31506849315068486,0.1272727272727272,0.578512396694215,0.0691823899371069,0.5,0.125,0.0,1.0,1.0,1.0
3,0.8449612403100772,0.6499999999999999,0.7465753424657535,0.6484848484848484,0.8553719008264462,0.7798742138364778,1.0,0.125,0.6727272727272728,1.0,1.0,1.0
4,0.9612403100775193,0.79,0.8150684931506849,0.8484848484848486,0.8471074380165289,0.8050314465408803,0.925,0.2325,0.627272727272727,1.0,1.0,0.0
5,0.3798449612403103,0.3999999999999999,0.5205479452054793,0.666666666666667,0.7933884297520661,0.6603773584905661,0.8775,0.218125,0.5454545454545454,0.0,1.0,1.0
6,0.7674418604651163,0.6000000000000001,0.7945205479452055,0.7575757575757578,0.6280991735537191,0.6855345911949686,0.925,0.25,0.6363636363636362,0.0,1.0,1.0
7,0.9612403100775193,0.9100000000000001,0.9452054794520546,0.8484848484848486,0.909090909090909,0.6163522012578615,0.5825,0.208125,0.8909090909090907,0.0,1.0,0.0
8,0.6511627906976742,0.6800000000000002,0.8082191780821919,0.5272727272727273,0.8471074380165289,0.7672955974842766,1.0,0.25,0.6636363636363636,1.0,1.0,0.0
9,0.4883720930232558,0.8999999999999999,0.7191780821917808,0.8484848484848486,0.8181818181818181,0.8176100628930816,0.5,0.0,0.5454545454545454,0.0,1.0,0.0
10,0.9844961240310077,0.9199999999999999,0.9383561643835616,0.9393939393939394,0.9834710743801653,0.9685534591194971,0.975,0.24625,0.9545454545454546,0.0,0.0,1.0
11,1.0,1.0,0.7739726027397258,0.9757575757575756,0.9462809917355373,0.9182389937106921,1.0,0.25,0.9272727272727272,0.0,1.0,1.0
12,0.22480620155038755,0.20000000000000018,0.7260273972602742,0.8787878787878789,0.9586776859504131,1.0,0.875,0.25,0.7363636363636363,0.0,1.0,1.0
13,0.6744186046511627,0.71,0.7876712328767121,0.509090909090909,0.8471074380165289,0.8427672955974841,0.97,0.228125,0.6818181818181817,0.0,0.0,1.0
14,0.7906976744186047,0.6200000000000001,0.6986301369863015,0.7030303030303027,0.8636363636363635,0.8113207547169812,0.95,0.2375,0.7818181818181817,1.0,1.0,0.0
15,0.8139534883720927,0.8999999999999999,0.8835616438356166,0.8848484848484848,0.6487603305785123,0.9371069182389937,0.75,0.0,0.7999999999999998,1.0,1.0,0.0
16,0.5193798449612403,0.7999999999999998,0.9178082191780823,1.0,0.9049586776859504,0.4779874213836477,0.6675,0.125,0.790909090909091,1.0,1.0,0.0
17,0.7829457364341086,0.14000000000000012,0.0,0.2666666666666666,0.5991735537190082,0.4779874213836477,0.8225,1.0,0.23636363636363633,0.0,0.0,0.0
