Responden,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Cluster
R101,3.75,3.7,3.65,3.6,3.7,3.65,3.7,3.68,3.65,1,0,0,0
R102,3.79,3.75,3.7,3.65,3.69,3.73,3.75,3.67,3.7,0,0,0,1
R103,3.75,3.8,3.7,3.85,3.75,3.7,3.6,3.65,3.69,1,0,1,0
R104,3.75,3.6,3.63,3.68,3.73,3.7,3.73,3.75,3.68,1,0,0,0
R105,3.69,3.73,3.7,3.65,3.7,3.75,3.7,3.73,3.7,1,1,1,2
R106,3.7,3.75,3.6,3.65,3.7,3.65,3.66,3.68,3.67,1,0,0,0
R107,3.7,3.75,3.65,3.7,3.65,3.6,3.76,3.68,3.63,0,1,0,1
R108,3.67,3.7,3.73,3.73,3.75,3.78,3.75,3.76,3.7,1,1,1,2
R109,3.7,3.75,3.73,3.76,3.74,3.7,3.72,3.74,3.71,1,1,1,2
R110,3.76,3.78,3.75,3.74,3.77,3.78,3.75,3.77,3.75,1,0,0,0
R111,3.7,3.65,3.6,3.63,3.6,3.65,3.7,3.72,3.68,1,1,0,4
R112,3.78,3.75,3.78,3.77,3.8,3.79,3.77,3.75,3.73,1,0,1,0
R113,3.75,3.7,3.65,3.7,3.65,3.68,3.7,3.65,3.7,1,0,1,0
R114,3.7,3.68,3.75,3.73,3.75,3.73,3.76,3.78,3.75,1,0,1,0
R115,3.78,3.75,3.73,3.75,3.76,3.74,3.73,3.75,3.71,1,1,1,2
R116,3.76,3.67,3.7,3.73,3.7,3.75,3.73,3.77,3.75,1,1,0,4
R117,3.65,3.68,3.7,3.65,3.67,3.68,3.65,3.64,3.65,1,1,0,4
R118,3.75,3.8,3.78,3.75,3.8,3.78,3.75,3.76,3.76,1,0,1,0
R119,3.7,3.72,3.74,3.76,3.79,3.8,3.78,3.75,3.78,1,1,1,2
R120,3.6,3.55,3.67,3.65,3.5,3.54,3.5,3.52,3.46,1,0,1,0
R121,3.55,3.7,3.98,3.63,3.5,2.91,2.67,3.5,3.63,0,1,0,1
R122,3.78,3.75,3.7,3.73,3.7,3.73,3.75,3.7,3.72,1,0,1,0
R123,3.7,3.65,3.68,3.7,3.6,3.74,3.7,3.65,3.67,1,0,1,0
R124,3.76,3.74,3.7,3.75,3.72,3.71,3.65,3.76,3.7,1,0,0,0
R125,3.76,3.74,3.7,3.65,3.73,3.7,3.75,3.73,3.7,0,1,0,1
R126,3.75,3.7,3.65,3.63,3.7,3.68,3.7,3.73,3.69,1,0,1,0
R127,3.75,3.7,3.65,3.67,3.7,3.71,3.76,3.74,3.7,1,0,1,0
R128,3.29,3.45,3.37,3.43,3.45,3.42,3.5,3.65,3.5,1,1,1,2
R129,3.5,3.58,3.6,3.45,3.56,3.6,3.65,3.68,3.5,1,0,1,0
R130,3.4,3.35,3.5,3.45,3.48,3.5,3.59,3.55,3.4,0,1,1,3
R131,3.76,3.7,3.73,3.68,3.65,3.69,3.71,3.65,3.63,1,0,1,0
R132,3.56,3.6,3.68,3.6,3.75,3.7,3.65,3.7,3.68,1,1,0,4
R133,3.7,3.65,3.6,3.63,3.7,3.65,3.7,3.65,3.6,1,0,1,0
R134,3.67,3.6,3.56,3.62,3.65,3.7,3.65,3.45,3.5,1,0,1,0
R135,3.7,3.65,3.6,3.68,3.65,3.62,3.6,3.63,3.6,0,0,1,3
R136,3.6,3.63,3.67,3.65,3.7,3.75,3.7,3.68,3.63,1,1,1,2
R137,3.7,3.73,3.67,3.75,3.72,3.75,3.7,3.65,3.7,1,0,1,0
R138,3.59,3.6,3.65,3.63,3.66,3.58,3.64,3.62,3.63,1,0,0,0
R139,3.5,3.55,3.45,3.6,3.69,3.65,3.63,3.59,3.61,1,1,1,2
R140,3.67,3.7,3.65,3.68,3.71,3.75,3.78,3.76,3.7,1,0,1,0
R141,3.65,3.6,3.62,3.68,3.75,3.72,3.78,3.73,3.7,1,1,1,2
R142,3.2,3.4,3.5,3.58,3.6,3.65,3.67,3.68,3.65,1,1,1,2
R143,3.25,3.3,3.33,3.4,3.38,3.45,3.48,3.5,3.41,1,1,1,2
R144,3.75,3.78,3.74,3.79,3.74,3.79,3.8,3.72,3.75,1,1,1,2
R145,3.35,3.5,3.55,3.6,3.54,3.6,3.65,3.69,3.65,1,1,1,2
R146,3.68,3.6,3.5,3.45,3.58,3.69,3.7,3.72,3.7,1,1,1,2
R147,3.65,3.7,3.75,3.68,3.65,3.73,3.75,3.69,3.68,1,1,0,4
R148,3.7,3.73,3.75,3.68,3.7,3.69,3.65,3.68,3.65,1,1,1,2
R149,3.75,3.7,3.69,3.65,3.7,3.73,1.33,1.56,3.65,0,0,0,1
R150,3.77,3.75,3.72,3.75,3.78,3.8,2.65,1.76,3.78,1,0,0,0
R151,3.6,3.7,3.75,3.77,3.7,3.68,1.8,2.25,3.68,1,0,0,0
R152,3.68,3.7,3.65,3.72,3.74,3.68,2.58,1.8,3.65,1,1,1,2
R153,3.61,3.65,3.7,3.68,3.74,3.65,3.4,3.5,3.7,0,1,0,1
R154,3.7,3.68,3.65,3.69,3.7,3.72,3.42,3.57,3.71,0,0,0,1
R155,3.78,3.83,3.68,3.65,3.62,3.76,2.56,1.8,3.65,0,0,1,3
R156,3.68,3.77,3.7,3.75,3.65,3.71,3.78,3.76,3.73,1,0,0,0
R157,3.78,3.8,3.75,3.7,3.76,3.79,3.42,3.56,3.78,1,0,1,0
R158,3.65,3.78,3.8,3.85,3.83,3.8,3.65,3.6,3.8,1,0,0,0
R159,3.45,3.5,3.7,3.75,3.73,3.68,2.65,2.79,3.65,0,0,1,3
R160,3.76,3.8,3.85,3.83,3.87,3.8,3.68,3.76,3.81,1,0,0,0
R161,3.76,3.87,3.7,3.78,3.7,3.76,3.21,3.15,3.8,1,0,0,0
R162,3.78,3.75,3.6,3.65,3.79,3.76,2.9,1.95,3.78,1,1,0,4
R163,3.87,3.8,3.85,3.88,3.82,3.87,3.5,3.76,3.8,1,0,0,0
R164,3.78,3.82,3.76,3.8,3.72,3.7,2.65,2.8,3.67,1,1,1,2
R165,3.7,3.75,3.8,3.85,3.76,3.7,3.65,3.7,3.69,0,0,1,3
R166,3.79,3.68,3.75,3.7,3.65,3.62,2.65,2.35,3.62,1,1,0,4
R167,3.79,3.7,3.65,3.76,3.77,3.8,2.59,2.8,3.68,1,0,0,0
R168,3.65,3.75,3.77,3.7,3.75,3.79,3.6,3.5,3.73,0,0,0,1
R169,3.75,3.77,3.65,3.6,3.71,3.78,3.2,3.0,3.6,1,0,0,0
R170,3.87,3.8,3.76,3.79,3.7,3.75,2.76,2.5,3.7,0,1,0,1
R171,3.78,3.8,3.85,3.83,3.78,3.7,3.65,3.48,3.72,1,1,0,4
R172,3.76,3.83,3.8,3.67,3.76,3.7,2.89,2.65,3.65,1,0,1,0
R173,3.7,3.75,3.8,3.78,3.85,3.65,2.54,2.3,3.69,1,1,0,4
R174,3.65,3.54,3.5,3.65,3.7,3.76,1.26,2.0,3.48,1,0,1,0
R175,3.75,3.8,3.85,3.65,3.6,3.7,2.76,2.56,3.63,0,1,0,1
R176,3.68,3.56,3.78,3.7,3.56,3.78,2.89,2.34,3.62,0,0,1,3
R177,3.89,3.8,3.75,3.67,3.6,3.7,2.78,2.6,3.63,1,0,0,0
R178,3.65,3.7,3.75,3.72,3.69,3.7,2.87,2.43,3.52,0,0,0,1
R179,3.56,3.65,3.78,3.75,3.68,3.7,2.65,2.4,3.69,0,0,0,1
R180,3.6,3.65,3.7,3.73,3.76,3.67,2.54,2.0,3.65,0,0,0,1
R181,3.7,3.65,3.6,3.63,3.7,3.75,2.7,2.9,3.72,0,1,0,1
R182,3.7,3.72,3.76,3.69,3.5,3.65,3.3,3.33,3.7,1,1,0,4
R183,3.7,3.65,3.7,3.68,3.6,3.65,2.76,2.7,3.71,1,0,0,0
R184,3.6,3.65,3.67,3.7,3.71,3.73,3.74,3.65,3.71,0,0,0,1
R185,3.75,3.7,3.65,3.69,3.65,3.76,2.67,2.8,3.63,0,1,0,1
R186,3.6,3.62,3.64,3.67,3.7,3.73,3.74,3.69,3.72,0,0,0,1
R187,3.65,3.7,3.73,3.66,3.56,3.68,2.67,2.58,3.68,0,0,0,1
R188,3.67,3.7,3.72,3.65,3.6,3.68,2.68,2.7,3.65,0,0,0,1
R189,3.65,3.6,3.7,3.75,3.53,3.58,2.56,2.33,3.68,0,0,0,1
R190,3.46,3.5,3.68,3.7,3.65,3.68,2.3,2.45,3.6,0,0,0,1
R191,3.6,3.67,3.58,3.65,3.57,3.7,3.45,3.2,3.65,0,1,0,1
R192,3.65,3.6,3.56,3.76,3.7,3.69,2.9,2.65,3.45,0,1,0,1
R193,3.6,3.4,3.5,3.65,3.6,3.56,2.78,2.8,3.65,0,1,0,1
R194,3.5,3.6,3.65,3.7,3.68,3.56,2.65,2.3,3.54,1,1,0,4
R195,3.45,3.6,3.69,3.5,3.7,3.67,1.67,1.89,3.53,1,0,1,0
R196,3.6,3.65,3.45,3.55,3.7,3.68,1.87,1.89,3.65,1,0,0,0
R197,3.7,3.68,3.63,3.58,3.6,3.62,2.35,2.45,3.66,1,0,1,0
R198,3.68,3.72,3.7,3.65,3.66,3.71,2.76,2.86,3.67,0,1,1,3
R199,3.68,3.65,3.72,3.61,3.74,3.67,2.3,2.56,3.66,0,0,0,1
R200,3.68,3.72,3.69,3.65,3.55,3.5,2.45,2.52,3.62,1,1,0,4
R201,3.76,3.73,3.65,3.6,3.61,3.73,3.45,2.38,3.69,1,0,1,0
R202,3.76,3.84,3.88,3.76,3.75,3.83,3.32,3.45,3.71,1,0,0,0
R203,3.76,3.72,3.74,3.65,3.68,3.57,2.25,2.43,3.68,0,0,0,1
R204,3.6,3.66,3.71,3.76,3.8,3.76,2.78,2.56,3.77,0,0,0,1
R205,3.89,3.8,3.78,3.82,3.8,3.77,3.54,3.76,3.87,1,0,0,0
R206,3.81,3.79,3.84,3.86,3.77,3.74,3.67,3.71,3.83,0,0,0,1
R207,3.8,3.83,3.89,3.81,3.76,3.79,3.67,3.71,3.87,0,0,0,1
R208,3.76,3.65,3.56,3.79,3.76,3.81,3.21,3.65,3.83,0,0,0,1
R209,3.73,3.7,3.84,3.89,3.72,3.75,2.9,2.87,3.79,0,0,0,1
R210,3.8,3.78,3.73,3.86,3.83,3.87,3.23,3.33,3.87,1,0,0,0
